chrname,book,book.id,book.json,names in book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Mrs. Bennet,Pride and Prejudice,pride_and_prejudice.book,,Mrs. Bennet,2,1,2,2,6.125,2.25,2.62375,2.125,2.5,1.004335787,-1.039940756,-1.3075945,-1.215555228,-1.201042066
Mrs. Gardiner,Pride and Prejudice,pride_and_prejudice.book,,Mrs. Gardiner,2,1,2,2,5.5,7,7,7,7,0.653146152,1.437624697,1.199054778,1.841065788,1.533930585
William Collins,Pride and Prejudice,pride_and_prejudice.book,,Mr. Collins,1,1,2,2,5.818181818,2.727272727,3.5,3.181818182,2.227272727,0.831933603,-0.790998772,-0.80569186,-0.552931092,-1.366797985
Caroline Bingley,Pride and Prejudice,pride_and_prejudice.book,,Caroline Bingley/Miss Bingley,2,2,1,2,5.5,1.5,5,4.25,3.5,0.653146152,-1.431135301,0.053485271,0.116818036,-0.593270366
Charlotte Lucas,Pride and Prejudice,pride_and_prejudice.book,,Charlotte/Miss Lucas,2,1,2,2,1.5,5.785714286,6.571428571,6.357142857,1.928571429,-1.594467515,0.8042621,0.953575598,1.437994885,-1.548340181
Elizabeth Bennet,Pride and Prejudice,pride_and_prejudice.book,,Elizabeth/Lizzy,2,1,1,2,5.543209877,5.175925926,6.302469136,5.580246914,5.932037037,0.677425929,0.486200927,0.799519734,0.950881763,0.884852919
Fitzwilliam Darcy,Pride and Prejudice,pride_and_prejudice.book,,Mr. Darcy,1,1,1,2,1.466666667,3.3,6.733166667,5.733333333,4.233333333,-1.613197629,-0.492268392,1.046216713,1.046866823,-0.147571119
Jane Bennet,Pride and Prejudice,pride_and_prejudice.book,,Jane/Miss Bennet,2,1,2,2,3.111111111,6.888888889,6.111111111,4.555555556,2.944444444,-0.689178677,1.379669949,0.689912775,0.308401119,-0.930921311
Robert Wringham Colwan,Private Memoirs of a Justified Sinner,private_memoirs_and_confessions_of_a_justified_sinner.book,,Robert,1,2,1,1,3,1,2.5,1.5,4,-0.75161239,-1.691931664,-1.378476614,-1.607429717,-0.289384516
Rachel Ray,Rachel Ray,rachel_ray.book,,Rachel,2,1,1,1,5,5.495,7,6,6,0.372194443,0.652627643,1.199054778,1.214066605,0.926158885
Mr. Redgauntlet,Redgauntlet ,redgauntlet.book,,Mr. Redgauntlet,1,1,1,1,4.5,2,6.5,2,4,0.091242735,-1.170338937,0.912662401,-1.293930126,-0.289384516
Diggory Venn,Return_of_the_Native,return_of_the_native.book,,Diggory/Venn,1,1,2,1,1,6.5,7,6.5,6.5,-1.875419223,1.176828333,1.199054778,1.527566197,1.230044735
Eustacia Vye,Return_of_the_Native,return_of_the_native.book,,Eustacia,2,1,1,1,6,1.5,5.25,2.25,5.25,0.93409786,-1.431135301,0.196681459,-1.13718033,0.47033011
Romola de' Bardi,Romola ,romola.book,,Romola,1,1,1,2,2,6.5,6,5.5,6,-1.313515806,1.176828333,0.626270024,0.900567014,0.926158885
Tito Melema,Romola,romola.book,,Tito,1,2,1,2,6,4,1.5,3,6.5,0.93409786,-0.127153484,-1.951261367,-0.666930943,1.230044735
Lucy Steele,Sense and Sensibility,sense_and_sensibilities.book,,Lucy/Miss Steele,2,1,2,2,4.5,4,4.5,4.5,3.5,0.091242735,-0.127153484,-0.232907106,0.273567831,-0.593270366
Marianne Dashwood,Sense and Sensibility,sense_and_sensibilities.book,,Marianne,2,1,1,2,6.75,4.125,1.6875,2.06125,7,1.355525423,-0.061954393,-1.843864226,-1.255526426,1.533930585
Mrs. Dashwood,Sense and Sensibility,sense_and_sensibilities.book,,Mrs. Dashwood,2,1,2,2,5.5,6.5,2.5,2.5,5,0.653146152,1.176828333,-1.378476614,-0.980430534,0.318387185
Mrs. Jennings,Sense and Sensibility,sense_and_sensibilities.book,,Mrs. Jennings,2,1,2,2,7,6,2.5,5,1.5,1.496001277,0.91603197,-1.378476614,0.587067423,-1.808813767
Colonel Brandon,Sense and Sensibility,sense_and_sensibilities.book,,Colonel Brandon/Colonel/Brandon,1,1,2,2,1.5,6.5,7,7,3,-1.594467515,1.176828333,1.199054778,1.841065788,-0.897156216
Elinor Dashwood,Sense and Sensibility,sense_and_sensibilities.book,,Elinor/Miss Dashwood,2,1,1,2,2.45,5.9,6.9,6.4,4.6,-1.060659269,0.863872697,1.141776303,1.464866278,0.075278504
Fanny Dashwood,Sense and Sensibility,sense_and_sensibilities.book,,Fanny/Mrs. John Dashwood,2,2,1,2,5.5,1,6,2.5,3,0.653146152,-1.691931664,0.626270024,-0.980430534,-0.897156216
John Dashwood,Sense and Sensibility,sense_and_sensibilities.book,,Mr. John Dashwood/John,1,2,1,2,3,1.5,5.5,4,2,-0.75161239,-1.431135301,0.339877647,-0.03993176,-1.504927917
John Willoughby,Sense and Sensibility,sense_and_sensibilities.book,,John Willoughby/Mr. Willoughby,1,2,1,2,7,4.75,1.25,3.75,6.5,1.496001277,0.264041061,-2.094457556,-0.196681556,1.230044735
Ludwig Horace Holly,She,(hard to find),,-,1,1,1,1,2,2.5,6,3.5,4,-1.313515806,-0.909542574,0.626270024,-0.353431352,-0.289384516
She (Ayesha/She-who-must-be-obeyed),She,(hard to find),,-,2,2,1,1,6.6,1.9,4.799,3.2,4.899,1.27123991,-1.22249821,-0.061644465,-0.541531106,0.257002243
Shirley Keeldar,Shirley,shirley.book,,Shirely/Miss Keeldar,2,1,2,2,7,4.5,2,2,7,1.496001277,0.13364288,-1.66486899,-1.293930126,1.533930585
Gertrude Morel,Sons_and_Lovers,sons_and_lovers.book,,Mrs. Morel/Gertrude,2,1,2,1,5,1.5,6.5,2.5,6.5,0.372194443,-1.431135301,0.912662401,-0.980430534,1.230044735
Philip Hepburn,Sylvia's Lovers,sylvias_lovers.book,,Sylvia,1,1,1,2,1.5,5,7,3,4,-1.594467515,0.394439243,1.199054778,-0.666930943,-0.289384516
Alec d'Urberville,Tess of d'Urbervilles,tess_of_d_ubervilles.book,,Alec,1,2,1,1,5.333333333,2.666666667,3.5,4.166666667,3.833333333,0.559495582,-0.822610453,-0.80569186,0.064568104,-0.390679799
Angel Clare,Tess of d'Urbervilles,tess_of_d_ubervilles.book,,Angel/Clare,1,1,2,1,5,5,5.75,3.5,4.25,0.372194443,0.394439243,0.483073836,-0.353431352,-0.137441591
Tess Durbeyfield,Tess of d'Urbervilles,tess_of_d_ubervilles.book,,Tess,2,1,1,1,2.382058824,6.147058824,5.794117647,3.647058824,4.970294118,-1.098835648,0.992736783,0.508343751,-0.261225589,0.30033279
Lambert Strether,The Ambassadors,the_ambassadors.book,,Lambert/Strether,1,1,1,1,1.5,6.5,5.5,6.5,7,-1.594467515,1.176828333,0.339877647,1.527566197,1.533930585
Maria Gostrey,The Ambassadors,the_ambassadors.book,,Maria/Gostrey,2,1,2,1,3.5,7,7,7,7,-0.470660681,1.437624697,1.199054778,1.841065788,1.533930585
Chadwick (Chad) Newsome,The Ambassadors,the_ambassadors.book,,Chad/Newsome,1,1,2,1,7,6.5,2.5,5,3.5,1.496001277,1.176828333,-1.378476614,0.587067423,-0.593270366
Christopher Newman,The American,the_american.book,,Christopher/Mr. Newman,1,1,1,1,5.166666667,5.5,6.5,5.666666667,5.5,0.465845013,0.655235607,0.912662401,1.005066878,0.622273035
"The narrator (anunnamedscholar,aparticipantin",The Aspern Papers,the_aspern_papers.book,,I,1,1,1,1,4,5.25,5.5,3.5,5,-0.189708973,0.524837425,0.339877647,-0.353431352,0.318387185
"Richard the Crookback, Duke of York",The Black Arrow,the_black_arrow.book,,Crookback/Gloucester,1,1,1,1,5,7,7,4,7,0.372194443,1.437624697,1.199054778,-0.03993176,1.533930585
Olive Chancellor,The Bostonians,the_bostonians.book,,Olive,2,1,1,1,5.5,1.5,6.5,4.5,7,0.653146152,-1.431135301,0.912662401,0.273567831,1.533930585
Gerard Eliason (Brother Clement),The Cloister and the Hearth,the_cloister_and_the_hearth.book,,Gerard/Clement,1,1,1,1,4,5.5,6,2.5,6,-0.189708973,0.655235607,0.626270024,-0.980430534,0.926158885
Sir Willoughby Patterne,The Egoist,the_egoist.book,,Willoughby,1,2,1,1,4.5,2.5,6,3.5,2,0.091242735,-0.909542574,0.626270024,-0.353431352,-1.504927917
Robert Acton,The Europeans ,the_europeans.book,,Robert,1,2,2,1,3.25,3.25,5.5,4.75,4,-0.611136536,-0.518348029,0.339877647,0.430317627,-0.289384516
Baroness Eugenia of Silberstadt-Schr,The Europeans,the_europeans.book,,Eugenia,2,1,1,1,4,3.25,4.75,4.75,5.5,-0.189708973,-0.518348029,-0.089710918,0.430317627,0.622273035
Felix Young,The Europeans,the_europeans.book,,Felix/Young,1,1,2,1,6.25,4,3.25,4.75,6.25,1.074573714,-0.127153484,-0.948888048,0.430317627,1.07810181
Gertrude Wentworth,The Europeans,the_europeans.book,,Gertrude,2,1,2,1,5.5,4,4,2.5,5.5,0.653146152,-0.127153484,-0.519299483,-0.980430534,0.622273035
Lizzie Eustace,The Eustace Diamonds,the_eustace_diamonds.book,,Lizzie/Lady Eustace,2,2,1,1,7,1.5,3.25,2.25,4.75,1.496001277,-1.431135301,-0.948888048,-1.13718033,0.166444259
Mr. Camperdown,The Eustace Diamonds,the_eustace_diamonds.book,,Mr. Camperdown,1,2,1,1,4.5,1,6,5.5,1,0.091242735,-1.691931664,0.626270024,0.900567014,-2.112699617
Maggie Verver,The Golden Bowl,the_golden_bowl.book,,Maggie,2,1,1,1,4,6.25,5.5,4.75,4,-0.189708973,1.046430152,0.339877647,0.430317627,-0.289384516
Prince Amerigo,The Golden Bowl,the_golden_bowl.book,,Prince/Amerigo,1,1,1,1,5.5,5.5,5.5,5.5,4,0.653146152,0.655235607,0.339877647,0.900567014,-0.289384516
Adam Verver,The Golden Bowl,the_golden_bowl.book,,Adam,1,1,2,1,4.75,4.75,7,7,6.25,0.231718589,0.264041061,1.199054778,1.841065788,1.07810181
Amy Edmonstone,The Golden Bowl,the_golden_bowl.book,,(couldn't find),2,1,2,2,4,6.5,5.165,3.5,4,-0.189708973,1.176828333,0.147994755,-0.353431352,-0.289384516
Charlotte Stant,The Golden Bowl,the_golden_bowl.book,,Charlotte,2,2,2,1,5.25,4,6.5,4.75,6.75,0.512670298,-0.127153484,0.912662401,0.430317627,1.38198766
Effie Deans,The Heart of Mid Lothian,the_heart_of_mid_lothian.book,,Effie,2,1,2,1,5,4.5,2,3,4,0.372194443,0.13364288,-1.66486899,-0.666930943,-0.289384516
Geordie Robertson (George Staunt),The Heart of Mid Lothian,the_heart_of_mid_lothian.book,,Geordie/Robertson/George/Mr. Staunton,1,2,1,1,6.25,1,1.75,2.5,7,1.074573714,-1.691931664,-1.808065179,-0.980430534,1.533930585
Jeanie Deans,The Heart of Mid Lothian,the_heart_of_mid_lothian.book,,Jeanie/JEANIE,2,1,1,1,2.5,7,7,3,6,-1.032564098,1.437624697,1.199054778,-0.666930943,0.926158885
Laura Edmonstone,The Heir of Redclyffe,the_heir_of_red_clyffe.book,,Laura,2,2,2,2,3.495,3,2.5,2,4.5,-0.473470199,-0.64874621,-1.378476614,-1.293930126,0.014501334
Sherlock Holmes,The Hound of the Baskerville,the_hound_of_baskervilles.book,,Sherlock/Holmes,1,1,1,1,3.642857143,3.214285714,5.857142857,5.428571429,5.857142857,-0.390388765,-0.53697634,0.544443631,0.855781358,0.839334356
Dr. John Watson,The Hound of the Baskerville,the_hound_of_baskervilles.book,,Watson,1,1,2,1,5.333333333,6.333333333,6.166666667,3.833333333,4.166666667,0.559495582,1.089896212,0.72173415,-0.144431624,-0.188089232
Prendick,The Island of Dr. Moreau,the_island_of_doctor_moreau.book,,I/Edward/Prendick,1,1,1,1,2.5,4,6,2.5,4,-1.032564098,-0.127153484,0.626270024,-0.980430534,-0.289384516
Bagheera,The Jungle Book,the_jungle_book.book,,Bagheera,1,1,2,1,3.5,2.5,7,4,1.5,-0.470660681,-0.909542574,1.199054778,-0.03993176,-1.808813767
Mowgli,The Jungle Books,the_jungle_book.book,,Mowgli,1,1,1,1,5.75,4.2475,5,5.75,5.4975,0.793622006,0.001940716,0.053485271,1.05731681,0.620753605
Shere Khan,The Jungle Books,the_jungle_book.book,,Shere Khan,1,2,2,1,4.5,4,7,6,6.5,0.091242735,-0.127153484,1.199054778,1.214066605,1.230044735
The Reverend Josiah Crawley,The Last Chronicle of Barset,the_last_chronicle_of_barset.book,,Mr. Crawley/Josiah,1,1,1,1,1.5,1.5,4.5,1.5,4.5,-1.594467515,-1.431135301,-0.232907106,-1.607429717,0.014501334
Stewart Ansell,The Longest Journey,the_longest_journey.book,,Stewart/Mr. Ansell,1,1,2,1,5,2.5,5.5,2.5,7,0.372194443,-0.909542574,0.339877647,-0.980430534,1.533930585
Lord John Roxton,The Lost World,the_lost_world.book,,John/Roxton,1,1,2,1,4.5,4.5,4.5,4.5,4,0.091242735,0.13364288,-0.232907106,0.273567831,-0.289384516
Redmond Barry,The Luck of Barry Lyndon,barry_lyndon.book,,Mr. Barry/Mr. Lyndon/Redmond,1,1,1,1,3.5,2,1.5,4,4,-0.470660681,-1.170338937,-1.951261367,-0.03993176,-0.289384516
Philip Bossiney,The Man of Property,man_of_property.book,,Philip/Bosinney,1,1,2,1,3.25,4.75,6.25,3.25,6.25,-0.611136536,0.264041061,0.769466213,-0.510181147,1.07810181
Soames Forsyte,The Man of Property,man_of_property.book,,Mr. Soames,1,2,1,1,1,3,7,2.5,1.5,-1.875419223,-0.64874621,1.199054778,-0.980430534,-1.808813767
Winifred Dartie,The Man of Property,man_of_property.book,,Winifred,2,1,2,1,4.75,7,5.75,5.5,4.25,0.231718589,1.437624697,0.483073836,0.900567014,-0.137441591
Irene Heron Forsyte,The Man of Property,man_of_property.book,,Irene,2,1,2,1,2.5,7,7,5,7,-1.032564098,1.437624697,1.199054778,0.587067423,1.533930585
June Forsyte,The Man of Property,man_of_property.book,,June,2,1,2,1,4.5,7,6,5.5,6,0.091242735,1.437624697,0.626270024,0.900567014,0.926158885
Maggie Tulliver,The Mill on the Floss,the_mill_on_the_floss.book,,Maggie,2,1,1,2,4.5,5.666666667,4.5,2.5,6.166666667,0.091242735,0.742167728,-0.232907106,-0.980430534,1.027454168
Stephen Guest,The Mill on the Floss,the_mill_on_the_floss.book,,Stephen,1,1,2,2,4.5,4.5,2.5,2,2.5,0.091242735,0.13364288,-1.378476614,-1.293930126,-1.201042066
Tom Tulliver,The Mill on the Floss,the_mill_on_the_floss.book,,Tom,1,2,1,2,5.5,2.5,6,4,1.5,0.653146152,-0.909542574,0.626270024,-0.03993176,-1.808813767
Bob Jakin,The Mill on the Floss,the_mill_on_the_floss.book,,Bob,1,1,2,2,7,5,7,7,7,1.496001277,0.394439243,1.199054778,1.841065788,1.533930585
Lady Verinder,The Moonstone ,the_moonstone.book,,Julia/Lady Verinder,2,1,1,1,5.5,4,5.5,6.5,5,0.653146152,-0.127153484,0.339877647,1.527566197,0.318387185
Sergeant Cuff,The Moonstone,the_moonstone.book,,Sergeant/Cuff,1,1,1,1,1,4,7,7,6,-1.875419223,-0.127153484,1.199054778,1.841065788,0.926158885
Drusilla Clack,The Moonstone,the_moonstone.book,,Drusilla/Miss Clack,2,1,2,1,5.5,1.75,3.5,2.75,3.25,0.653146152,-1.300737119,-0.80569186,-0.823680739,-0.745213291
Ezra Jennings,The Moonstone,the_moonstone.book,,Ezra/Jennings,1,1,2,1,2,5.25,4.75,3.5,6,-1.313515806,0.524837425,-0.089710918,-0.353431352,0.926158885
Gabriel Betteredge,The Moonstone,the_moonstone.book,,Gabriel/Mr. Betteredge,1,1,2,1,5.25,5.25,6.75,4,2,0.512670298,0.524837425,1.055858589,-0.03993176,-1.504927917
Godfrey Ablewhite,The Moonstone,the_moonstone.book,,Mr. Godfrey/Mr. Ablewhite/Mr. Godfrey Ablewhite/Godfrey/GODFREY ABLEWHITE/MR. GODFREY ABLEWHITE,1,2,1,1,5,3,2,1.5,1.5,0.372194443,-0.64874621,-1.66486899,-1.607429717,-1.808813767
Penelope (Pennyloaf) Candy,The Nether World,the_nether_world.book,,Penelope/Pennyload/Mrs. Candy,2,1,2,1,1.75,5.75,1.9975,2.5,3.75,-1.453991661,0.785633788,-1.666300952,-0.980430534,-0.441327441
Rhoda Nunn,The Odd Women,the_odd_women.book,,Rhoda/Miss Nunn,2,1,1,1,4.75,2.75,7,5.25,5.5,0.231718589,-0.779144392,1.199054778,0.743817218,0.622273035
Little Nell's grandfather,The Old Curiosity Shop,the_old_curiosity_shop.book,,grandfather,1,1,2,1,4,1.5,1,1,1.5,-0.189708973,-1.431135301,-2.237653744,-1.920929308,-1.808813767
Richard Swiveller (Dick),The Old Curiosity Shop,the_old_curiosity_shop.book,,Richard/Dick/ Mr. Swiveller,1,1,1,1,7,5.75,1.25,4.75,6.25,1.496001277,0.785633788,-2.094457556,0.430317627,1.07810181
Daniel Quilp,The Old Curiosity Shop,the_old_curiosity_shop.book,,Daniel/Mr. Quilp,1,2,1,1,7,1,4,4,5.495,1.496001277,-1.691931664,-0.519299483,-0.03993176,0.619234176
Gerald Scales,The Old Wives Tale,the_old_wives_tale.book,,Gerald/Mr. Scales,1,2,1,1,7,2.495,2.495,2.5,6,1.496001277,-0.912150537,-1.381340537,-0.980430534,0.926158885
Sophia Baines,The Old Wives Tale,the_old_wives_tale.book,,Sophia/Mrs. Baines,2,1,1,1,7,3.5,7,6.5,7,1.496001277,-0.387949847,1.199054778,1.527566197,1.533930585
Mr. Alfred Jingle,The Pickwick Papers,the_pickwick_papers.book,,Alfred/Mr. Jingle,1,2,1,1,7,4,3,5.5,6.5,1.496001277,-0.127153484,-1.092084237,0.900567014,1.230044735
Sam Weller,The Pickwick Papers,the_pickwick_papers.book,,Sam/Mr. Weller,1,1,2,1,7,3.5,7,5,5.5,1.496001277,-0.387949847,1.199054778,0.587067423,0.622273035
Lord Henry Wotton,The Picture of Dorian Grey,the_picture_of_dorian_grey.book,,Henry/Wotton/Harry,1,1,2,1,6.357142857,2.142857143,5.142857143,5.928571429,6.285714286,1.134777652,-1.095825691,0.135311664,1.169280949,1.099807942
Sibyl Vane,The Picture of Dorian Grey,the_picture_of_dorian_grey.book,,Sibyl,2,1,2,1,3.25,6.5,5,3,5.4975,-0.611136536,1.176828333,0.053485271,-0.666930943,0.620753605
Alan Campbell,The Picture of Dorian Grey,the_picture_of_dorian_grey.book,,Alan/Campbell,1,1,2,1,1,4,7,3.5,4,-1.875419223,-0.127153484,1.199054778,-0.353431352,-0.289384516
Dorian Gray,The Picture of Dorian Grey,the_picture_of_dorian_grey.book,,Dorian/Gray,1,1,1,1,5.336346154,3.048076923,3.586346154,3.682307692,5.797884615,0.561188497,-0.623669637,-0.756234099,-0.239124577,0.803318874
James Vane,The Picture of Dorian Grey,the_picture_of_dorian_grey.book,,James,1,2,2,1,2.5,1.5,6,2.5,5,-1.032564098,-1.431135301,0.626270024,-0.980430534,0.318387185
Basil Hallward,The Picture of Dorian Grey,the_picture_of_dorian_grey.book,,Basil/Hallward,1,1,2,1,3.74875,5.75,5.25,2.625,6,-0.330887207,0.785633788,0.196681459,-0.902055636,0.926158885
Plantagenet Palliser,The Prime Minister,DELETEME,,-,1,1,1,1,1,6,6.5,1.5,6,-1.875419223,0.91603197,0.912662401,-1.607429717,0.926158885
Ferdinand Lopez,The Prime Minister,DELETEME,,-,1,2,1,1,7,3.5,5,4,3.5,1.496001277,-0.387949847,0.053485271,-0.03993176,-0.593270366
Millicent Henning,The Princess Casamassima,the_princess_casamassima.book,,Millicent/Miss Henning,2,1,2,1,7,3,6,5,2,1.496001277,-0.64874621,0.626270024,0.587067423,-1.504927917
Princess Casamassima,The Princess Casamassima,the_princess_casamassima.book,,Christina/Princess,2,1,1,1,6.5,3.5,5.5,5.5,5,1.215049568,-0.387949847,0.339877647,0.900567014,0.318387185
Mlle Frances Evans Henri,The Professor,the_professor.book,,Frances/Evans/Henri,2,1,1,2,3,5.5,7,6.5,6,-0.75161239,0.655235607,1.199054778,1.527566197,0.926158885
Mr. Hunsden,The Professor,the_professor.book,,Hunsden,1,1,2,2,6.5,2,6.5,5,6.5,1.215049568,-1.170338937,0.912662401,0.587067423,1.230044735
William Crimsworth,The Professor,the_professor.book,,I/William,1,1,1,2,2.5,4.5,5.5,5,2.5,-1.032564098,0.13364288,0.339877647,0.587067423,-1.201042066
Mr. Verloc,The Secret Agent ,the_secret_agent.book,,Mr Verloc,1,1,1,1,4.5,3.5,5,4,3,0.091242735,-0.387949847,0.053485271,-0.03993176,-0.897156216
Martha Sowerby,The Secret Garden,the_secret_garden.book,,Martha,2,1,2,2,6,6.5,6.5,7,4.5,0.93409786,1.176828333,0.912662401,1.841065788,0.014501334
Mary Lennox,The Secret Garden,the_secret_garden.book,,Mary,2,1,1,2,3.375,2.791666667,4.749583333,3.54125,5.625,-0.540898609,-0.757411362,-0.089949578,-0.327567635,0.698244497
Susan Sowerby,The Secret Garden,the_secret_garden.book,,Susan/Mrs. Sowerby,2,1,2,2,4.5,7,7,7,4.5,0.091242735,1.437624697,1.199054778,1.841065788,0.014501334
Archibald Craven,The Secret Garden,the_secret_garden.book,,Archibald/Mr. Craven,1,2,2,2,1,4,4.5,2.5,3,-1.875419223,-0.127153484,-0.232907106,-0.980430534,-0.897156216
Ben Weatherstaff,The Secret Garden,the_secret_garden.book,,Ben/Weatherstaff,1,1,2,2,1.5,4.5,6,6,3,-1.594467515,0.13364288,0.626270024,1.214066605,-0.897156216
Colin Craven,The Secret Garden,the_secret_garden.book,,Colin,1,1,2,2,4.25,1.875,3.125,1.875,5.375,-0.049233119,-1.235538028,-1.020486143,-1.372305024,0.546301572
Dickon Sowerby,The Secret Garden,the_secret_garden.book,,Dickon,1,1,2,2,4.25,7,6.625,7,6.875,-0.049233119,1.437624697,0.984260495,1.841065788,1.457959123
Lilian (Lily) Dale,The Small House at Allington ,the_small_house_at_allington.book,,Lilian/Lily/Miss Dale,2,1,1,1,6.5,6.75,7,6,6,1.215049568,1.307226515,1.199054778,1.214066605,0.926158885
Dr. Henry Jekyll,The Strange Case of Dr Jekylll and Mr Hyde,the_strange_case_of_dr_jekyll_and_mr_hyde.book,,Henry/Dr. Jekyll/Mr. Jekyll,1,1,1,1,3.333333333,3.333333333,5.333333333,4.333333333,7,-0.564311251,-0.474881968,0.244413522,0.169067967,1.533930585
Edward Hyde,The Strange Case of Dr Jekylll and Mr Hyde,the_strange_case_of_dr_jekyll_and_mr_hyde.book,,Hyde/Edward/Mr. Hyde,1,2,1,1,5.625,1.125,1.25,2,3.25,0.723384079,-1.626732573,-2.094457556,-1.293930126,-0.745213291
Gabriel John Utterson,The Strange Case of Dr Jekylll and Mr Hyde,the_strange_case_of_dr_jekyll_and_mr_hyde.book,,Utterson/Mr. Utterson,1,1,1,1,2.5,5,6,6,2,-1.032564098,0.394439243,0.626270024,1.214066605,-1.504927917
Arthur Huntingdon,The Tenant of Wildfell Hall ,the_tenant_of_wildfell_hall.book,,Arthur/Mr. Huntingdon,1,2,1,2,6.75,1.5,1.25,5,2.75,1.355525423,-1.431135301,-2.094457556,0.587067423,-1.049099141
Frederick Lawrence,The Tenant of Wildfell Hall,the_tenant_of_wildfell_hall.book,,Frederick/Mr. Lawrence,1,1,2,2,4,6.5,3,4.5,6,-0.189708973,1.176828333,-1.092084237,0.273567831,0.926158885
Gilbert Markham,The Tenant of Wildfell Hall,the_tenant_of_wildfell_hall.book,,Gilbert/Mr. Markham,1,1,2,2,3.5,5,4.25,3,5.25,-0.470660681,0.394439243,-0.376103295,-0.666930943,0.47033011
Helen Graham (Helen Huntingdon),The Tenant of Wildfell Hall,the_tenant_of_wildfell_hall.book,,Helen/Mrs. Huntingdon/Mrs. Graham,2,1,1,2,2.0625,4.375,6.8125,4,5.4375,-1.278396843,0.068443789,1.091657637,-0.03993176,0.584287303
The Time Traveller,The Time Machine,the_time_machine.book,,Time Traveller,1,1,1,1,4.083333333,4.749166667,6.499166667,4.666666667,6.083333333,-0.142883688,0.263606401,0.91218508,0.378067695,0.976806527
Weena,The Time Machine,the_time_machine.book,,Weena,2,1,2,1,5.163333333,6.666666667,3.666666667,2.333333333,4.833333333,0.463972002,1.263760454,-0.710227734,-1.084930398,0.217091901
Festus Derriman,The Trumpet Major,the_trumpet_major.book,,Festus/Mr. Derriman,1,2,1,1,6.5,1,1.5,2,4,1.215049568,-1.691931664,-1.951261367,-1.293930126,-0.289384516
Carry Brattle (Jacob Brattle's daughter),The Vicar of Bullhampton,the_vicar_of_bullhampton.book,,Carry,2,1,2,1,3,6,2.5,2.5,5,-0.75161239,0.91603197,-1.378476614,-0.980430534,0.318387185
Baroness Beatrix Bernstein (sister of Rachel Esmond),The Virginians,the_virginians.book,,Beatrix/Berstein,2,1,2,1,6.5,4,4,5,4,1.215049568,-0.127153484,-0.519299483,0.587067423,-0.289384516
The Reverend Septimus Harding,The Warden,the_warden.book,,Septimus/Mr Harding,1,1,1,1,2.416666667,6.5,5.583333333,2.833333333,2.333333333,-1.079389383,1.176828333,0.38760971,-0.771430807,-1.30233735
Eleanor Harding,The Warden,the_warden.book,,Eleanor,2,1,1,1,5.5,5.5,4.75,4.75,4.75,0.653146152,0.655235607,-0.089710918,0.430317627,0.166444259
Lady Carbury,The Way We Live Now,the_way_we_live_now.book,,Lady Carbury,2,1,2,1,6.25,3,4.5,2.5,4.25,1.074573714,-0.64874621,-0.232907106,-0.980430534,-0.137441591
Marie Melmott,The Way We Live Now,the_way_we_live_now.book,,Marie,2,2,2,1,6,4.5,4.5,1.5,6.5,0.93409786,0.13364288,-0.232907106,-1.607429717,1.230044735
Winifred Hurtle,The Way We Live Now,the_way_we_live_now.book,,Mr. Hurtle,2,2,1,1,5.75,4.5,6.5,4.75,6.5,0.793622006,0.13364288,0.912662401,0.430317627,1.230044735
Dolly Longstaffe,The Way We Live Now,the_way_we_live_now.book,,Dolly,1,1,2,1,5.5,6.5,1.5,5.5,2,0.653146152,1.176828333,-1.951261367,0.900567014,-1.504927917
Kate Croy,The Wings of the Dove,the_wings_of_the_dove.book,,Kate,2,2,1,1,4.5,3.75,7,5.5,6.5,0.091242735,-0.257551665,1.199054778,0.900567014,1.230044735
Laura Fairlie,The Woman in White,the_woman_in_white.book,,Laura/Miss Fairlie,2,1,2,1,1,5.5,2.5,1,1,-1.875419223,0.655235607,-1.378476614,-1.920929308,-2.112699617
Marian Halcombe,The Woman in White,the_woman_in_white.book,,Miss Halcombe/Marian,2,1,1,1,6.166666667,5.75,6.583333333,6.416666667,6.333333333,1.02774843,0.785633788,0.960394464,1.475316265,1.128749452
Walter Hartright,The Woman in White,the_woman_in_white.book,,Walter/Mr. Hartright,1,1,1,1,4.5,6.5,7,7,7,0.091242735,1.176828333,1.199054778,1.841065788,1.533930585
Anne Catherick,The Woman in White,the_woman_in_white.book,,Anne,2,2,2,1,3,4.5,2.5,1,5,-0.75161239,0.13364288,-1.378476614,-1.920929308,0.318387185
Count Fosco,The Woman in White,the_woman_in_white.book,,Count Fosco,1,2,1,1,6.75,3,6.5,5.625,6.25,1.355525423,-0.64874621,0.912662401,0.978941912,1.07810181
Frederick Fairlie,The Woman in White,the_woman_in_white.book,,Frederick/Mr. Fairlie,1,2,1,1,3.166666667,1,3.5,1,3.5,-0.65796182,-1.691931664,-0.80569186,-1.920929308,-0.593270366
Henry Esmond,The History of Henry Esmond,the_history_of_henry_esmond.book,,Harry/Henry/Mr. Esmond,1,1,1,1,4.5,5,6.5,6,6,0.091242735,0.394439243,0.912662401,1.214066605,0.926158885
Griffin,The Invisible Man ,the_invisible_man.book,,Griffin,1,1,1,1,3,1,4,1.5,6.5,-0.75161239,-1.691931664,-0.519299483,-1.607429717,1.230044735
