chrname,book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
StephenBlackpool,,1,1,1,1,3,6.5,5,4.25,3.5,-0.75161239,1.176828333,0.053485271,0.116818036,-0.593270366
StephenGuest,,1,1,2,2,4.5,4.5,2.5,2,2.5,0.091242735,0.13364288,-1.378476614,-1.293930126,-1.201042066
StephenHargraves,,1,2,1,2,6,1,5,2,2.5,0.93409786,-1.691931664,0.053485271,-1.293930126,-1.201042066
StewartAnsell,,1,1,2,1,5,2.5,5.5,2.5,7,0.372194443,-0.909542574,0.339877647,-0.980430534,1.533930585
SueBridehead,,2,1,2,1,5.333333333,4.166666667,3,1.5,6.166666667,0.559495582,-0.040221363,-1.092084237,-1.607429717,1.027454168
SusanSowerby,,2,1,2,2,4.5,7,7,7,4.5,0.091242735,1.437624697,1.199054778,1.841065788,0.014501334
SydneyCarton,,1,1,1,1,1,7,5.495,5.495,2.495,-1.875419223,1.437624697,0.337013724,0.897432018,-1.204080925
TessDurbeyfield,,2,1,1,1,2.382058824,6.147058824,5.794117647,3.647058824,4.970294118,-1.098835648,0.992736783,0.508343751,-0.261225589,0.30033279
TheBeechTree,,2,1,2,1,1.5,7,2.5,2,4,-1.594467515,1.437624697,-1.378476614,-1.293930126,-0.289384516
TheCaterpillar,,1,2,2,1,3,2.333333333,6.166666667,4.5,4.333333333,-0.75161239,-0.996474695,0.72173415,0.273567831,-0.086793949
TheCheshireCat,,1,1,2,1,6,2.714285714,3.642857143,4.5,6.214285714,0.93409786,-0.797772704,-0.723865467,0.273567831,1.056395678
TheDuchess,,2,2,2,1,6,1,1,1.5,4.5,0.93409786,-1.691931664,-2.237653744,-1.607429717,0.014501334
TheEnglishProfessor,,1,1,2,1,2.995,7,5.495,5,4.5,-0.754421907,1.437624697,0.337013724,0.587067423,0.014501334
TheKingofHearts,,1,2,2,1,2.5,5,3.5,2.5,2,-1.032564098,0.394439243,-0.80569186,-0.980430534,-1.504927917
TheMadHatter,,1,1,1,1,5.5,3.25,1.25,3.25,4,0.653146152,-0.518348029,-2.094457556,-0.510181147,-0.289384516
TheMarchHare,,1,,,1,5.5,1,1.5,2,6,0.653146152,-1.691931664,-1.951261367,-1.293930126,0.926158885
TheMonster,,1,2,1,2,4.087941176,3.852941176,4.147058824,1.882352941,6.058823529,-0.140294526,-0.203858296,-0.435066431,-1.367694735,0.961910161
"Thenarrator(anunnamedscholar,aparticipantin",,1,1,1,1,4,5.25,5.5,3.5,5,-0.189708973,0.524837425,0.339877647,-0.353431352,0.318387185
TheQueenofHearts,,2,2,1,1,6.5,1.1,2.2,1.4,2.9,1.215049568,-1.639772391,-1.55031204,-1.670129635,-0.957933386
TheRedLama,,1,1,2,1,2,6.5,4.5,6.5,5.5,-1.313515806,1.176828333,-0.232907106,1.527566197,0.622273035
TheRedQueen,,2,1,2,1,6,1,7,6.5,2,0.93409786,-1.691931664,1.199054778,1.527566197,-1.504927917
TheReverendJosiahCrawley,,1,1,1,1,1.5,1.5,4.5,1.5,4.5,-1.594467515,-1.431135301,-0.232907106,-1.607429717,0.014501334
TheReverendMicahBalwhidder,,1,1,1,1,4,4.5,6.5,4,2.5,-0.189708973,0.13364288,0.912662401,-0.03993176,-1.201042066
TheReverendObadiahSlope,,1,2,1,1,6.666666667,1.333333333,5.333333333,3.833333333,3.333333333,1.308700138,-1.518067422,0.244413522,-0.144431624,-0.694565649
TheReverendSeptimusHarding,,1,1,1,1,2.416666667,6.5,5.583333333,2.833333333,2.333333333,-1.079389383,1.176828333,0.38760971,-0.771430807,-1.30233735
TheReverendTheophilusGrantly,,1,1,2,1,6,2.5,6.25,1.5,2.25,0.93409786,-0.909542574,0.769466213,-1.607429717,-1.352984991
TheTimeTraveller,,1,1,1,1,4.083333333,4.749166667,6.499166667,4.666666667,6.083333333,-0.142883688,0.263606401,0.91218508,0.378067695,0.976806527
TheWhiteKing,,1,1,2,1,3.5,5,4,2,5,-0.470660681,0.394439243,-0.519299483,-1.293930126,0.318387185
TheWhiteKnight,,1,1,2,1,4.1,6.4,2.7,4.4,6,-0.133518632,1.124669061,-1.263919663,0.210867913,0.926158885
TheWhiteQueen,,2,1,2,1,3.5,6,1.5,1.5,5,-0.470660681,0.91603197,-1.951261367,-1.607429717,0.318387185
TheWhiteRabbit,,1,,,1,5.415833333,2.5,4.25,1.333333333,3.833333333,0.605852614,-0.909542574,-0.376103295,-1.711929581,-0.390679799
ThomasGradgrind,,1,1,1,1,5,2.666666667,5.833333333,4.833333333,2.833333333,0.372194443,-0.822610453,0.530805899,0.482567559,-0.9984515
TitoMelema,,1,2,1,2,6,4,1.5,3,6.5,0.93409786,-0.127153484,-1.951261367,-0.666930943,1.230044735
TomBrown,,1,1,1,1,7,6,1.5,6.5,3.5,1.496001277,0.91603197,-1.951261367,1.527566197,-0.593270366
TomTulliver,,1,,,2,5.5,2.5,6,4,1.5,0.653146152,-0.909542574,0.626270024,-0.03993176,-1.808813767
Tweedldum/Tweedledee,,1,,,1,5.75,1.25,3.25,2,3.5,0.793622006,-1.561533482,-0.948888048,-1.293930126,-0.593270366
Umbopa,,1,1,2,1,5,5,6.5,5,5.5,0.372194443,0.394439243,0.912662401,0.587067423,0.622273035
VictorFrankenstein,,1,1,1,2,3.833333333,3.111111111,3.888888889,2.055555556,5.944444444,-0.283359543,-0.590791463,-0.582942234,-1.259096838,0.89239379
"WackfordSqueers,Jr.",,1,2,1,1,4.5,1,3,4,2.5,0.091242735,-1.691931664,-1.092084237,-0.03993176,-1.201042066
WalterHartright,,1,1,1,1,4.5,6.5,7,7,7,0.091242735,1.176828333,1.199054778,1.841065788,1.533930585
Weena,,2,1,2,1,5.163333333,6.666666667,3.666666667,2.333333333,4.833333333,0.463972002,1.263760454,-0.710227734,-1.084930398,0.217091901
WilfredofIvanhoe,,1,1,1,1,4.4975,4.9975,6.75,5.75,6.25,0.089837977,0.393135261,1.055858589,1.05731681,1.07810181
WilliamCollins,,1,,,2,5.818181818,2.727272727,3.5,3.181818182,2.227272727,0.831933603,-0.790998772,-0.80569186,-0.552931092,-1.366797985
WilliamCrimsworth,,1,1,1,2,2.5,4.5,5.5,5,2.5,-1.032564098,0.13364288,0.339877647,0.587067423,-1.201042066
WilliamDorrit(AmyDorrit?father),,1,1,2,1,6,1.5,1,1.5,2.5,0.93409786,-1.431135301,-2.237653744,-1.607429717,-1.201042066
WilliamElliot,,1,2,1,2,7,2,1,3.5,5,1.496001277,-1.170338937,-2.237653744,-0.353431352,0.318387185
WinifredDartie,,2,1,2,1,4.75,7,5.75,5.5,4.25,0.231718589,1.437624697,0.483073836,0.900567014,-0.137441591
WinifredHurtle,,2,2,1,1,5.75,4.5,6.5,4.75,6.5,0.793622006,0.13364288,0.912662401,0.430317627,1.230044735


