chrname,book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
EustaciaVye,Return_of_the_Native,2,1,1,1,6,1.5,5.25,2.25,5.25,0.93409786,-1.431135301,0.196681459,-1.13718033,0.47033011
EzraJennings,The_Moonstone,1,1,2,1,2,5.25,4.75,3.5,6,-1.313515806,0.524837425,-0.089710918,-0.353431352,0.926158885
EzraLapidoth(alsoknownasMordecai),Daniel_Deronda,1,1,2,2,7,5,7,3.5,7,1.496001277,0.394439243,1.199054778,-0.353431352,1.533930585
Fagin,oliver_twist,1,2,1,1,6.5,2,5,1.5,5.5,1.215049568,-1.170338937,0.053485271,-1.607429717,0.622273035
FancyDay,Under_the_Greenwood_Tree,2,1,2,1,5,4.5,4.25,3.75,4.75,0.372194443,0.13364288,-0.376103295,-0.196681556,0.166444259
FannyDashwood,sense_and_sensibilities,2,2,1,2,5.5,1,6,2.5,3,0.653146152,-1.691931664,0.626270024,-0.980430534,-0.897156216
FannyPrice,mansfield_park,2,1,1,2,1.333055556,5.443888889,6.5275,3.221666667,3.610555556,-1.688274169,0.625968459,0.928413982,-0.527946124,-0.526077828
FannyRobin,,2,2,2,1,1,6.5,2,3.5,2,-1.875419223,1.176828333,-1.66486899,-0.353431352,-1.504927917
FelixYoung,,1,1,2,1,6.25,4,3.25,4.75,6.25,1.074573714,-0.127153484,-0.948888048,0.430317627,1.07810181
FerdinandLopez,,1,2,1,1,7,3.5,5,4,3.5,1.496001277,-0.387949847,0.053485271,-0.03993176,-0.593270366
FestusDerriman,,1,,,1,6.5,1,1.5,2,4,1.215049568,-1.691931664,-1.951261367,-1.293930126,-0.289384516
FitzwilliamDarcy,,1,1,1,2,1.466666667,3.3,6.733166667,5.733333333,4.233333333,-1.613197629,-0.492268392,1.046216713,1.046866823,-0.147571119
FloraMacIvor,,2,,,1,6.5,1.5,7,4,5.5,1.215049568,-1.431135301,1.199054778,-0.03993176,0.622273035
FlorenceDombey,,2,1,1,1,2.833333333,6.833333333,5.666666667,4.5,5.5,-0.845262959,1.350692576,0.435341773,0.273567831,0.622273035
FrankChurchill,Emma,1,1,2,2,6.833333333,4.333333333,1.5,3.5,5.333333333,1.402350707,0.046710759,-1.951261367,-0.353431352,0.520977751
FreddyHoneychurch,,1,1,2,1,5.5,4.5,2.5,6.5,6.5,0.653146152,0.13364288,-1.378476614,1.527566197,1.230044735
FrederickFairlie,,1,2,1,1,3.166666667,1,3.5,1,3.5,-0.65796182,-1.691931664,-0.80569186,-1.920929308,-0.593270366
